iter	Passed	Remaining
649	1103	594
650	1104	592
651	1106	590
652	1107	588
653	1109	586
654	1110	584
655	1111	582
656	1112	581
657	1114	579
658	1115	577
659	1117	575
660	1118	573
661	1119	571
662	1121	570
663	1123	568
664	1124	566
665	1126	564
666	1127	563
667	1128	561
668	1130	559
669	1132	557
670	1133	555
671	1135	554
672	1136	552
673	1138	550
674	1139	548
675	1140	546
676	1142	544
677	1143	543
678	1144	541
679	1146	539
680	1148	537
681	1149	535
682	1150	534
683	1152	532
684	1153	530
685	1155	528
686	1156	526
687	1157	524
688	1158	523
689	1160	521
690	1161	519
691	1163	517
692	1164	515
693	1165	513
694	1166	512
695	1168	510
696	1169	508
697	1170	506
698	1172	504
699	1173	503
700	1175	501
701	1176	499
702	1178	497
703	1179	496
704	1181	494
705	1182	492
706	1183	490
707	1184	488
708	1186	486
709	1187	484
710	1188	483
711	1189	481
712	1190	479
713	1193	477
714	1194	476
715	1195	474
716	1197	472
717	1198	470
718	1199	468
719	1200	467
720	1202	465
721	1203	463
722	1205	461
723	1206	459
724	1207	458
725	1209	456
726	1210	454
727	1211	452
728	1212	450
729	1213	448
730	1215	447
731	1216	445
732	1217	443
733	1219	441
734	1221	440
735	1222	438
736	1223	436
737	1225	434
738	1226	433
739	1227	431
740	1228	429
741	1230	427
742	1231	425
743	1232	424
744	1233	422
745	1235	420
746	1236	418
747	1238	417
748	1239	415
749	1241	413
750	1242	412
751	1244	410
752	1245	408
753	1246	406
754	1248	405
755	1251	403
756	1252	402
757	1253	400
758	1254	398
759	1256	396
760	1257	394
761	1258	393
762	1260	391
763	1261	389
764	1262	387
765	1264	386
766	1266	384
767	1268	383
768	1269	381
769	1271	379
770	1272	377
771	1273	376
772	1274	374
773	1276	372
774	1277	370
775	1279	369
776	1280	367
777	1282	365
778	1283	364
779	1284	362
780	1286	360
781	1287	358
782	1288	357
783	1289	355
784	1291	353
785	1292	351
786	1294	350
787	1295	348
788	1296	346
789	1298	345
790	1299	343
791	1300	341
792	1301	339
793	1303	338
794	1304	336
795	1306	334
796	1307	332
797	1309	331
798	1310	329
799	1312	328
800	1313	326
801	1315	324
802	1316	322
803	1317	321
804	1319	319
805	1320	317
806	1321	316
807	1322	314
808	1325	312
809	1326	311
810	1328	309
811	1329	307
812	1330	306
813	1331	304
814	1333	302
815	1334	300
816	1335	299
817	1337	297
818	1338	295
819	1340	294
820	1341	292
821	1343	290
822	1344	289
823	1345	287
824	1346	285
825	1348	283
826	1349	282
827	1350	280
828	1351	278
829	1353	277
830	1354	275
831	1356	273
832	1357	272
833	1358	270
834	1360	268
835	1361	267
836	1363	265
837	1364	263
838	1365	262
839	1366	260
840	1368	258
841	1369	257
842	1371	255
843	1372	253
844	1373	251
845	1375	250
846	1376	248
847	1377	246
848	1379	245
849	1380	243
850	1381	241
851	1383	240
852	1384	238
853	1386	237
854	1387	235
855	1388	233
856	1390	231
857	1391	230
858	1392	228
859	1393	226
860	1395	225
861	1396	223
862	1398	222
863	1400	220
864	1401	218
865	1402	217
866	1404	215
867	1405	213
868	1406	212
869	1408	210
870	1409	208
871	1410	207
872	1412	205
873	1413	203
874	1415	202
875	1416	200
876	1417	198
877	1418	197
878	1420	195
879	1421	193
880	1423	192
881	1424	190
882	1425	188
883	1428	187
884	1429	185
885	1431	184
886	1432	182
887	1433	180
888	1435	179
889	1436	177
890	1437	175
891	1439	174
892	1440	172
893	1442	171
894	1444	169
895	1445	167
896	1447	166
897	1448	164
898	1450	162
899	1451	161
900	1452	159
901	1453	157
902	1454	156
903	1456	154
904	1458	153
905	1459	151
906	1461	149
907	1462	148
908	1463	146
909	1465	144
910	1466	143
911	1467	141
912	1468	139
913	1470	138
914	1471	136
915	1473	135
916	1475	133
917	1476	131
918	1477	130
919	1479	128
920	1480	126
921	1481	125
922	1483	123
923	1484	122
924	1485	120
925	1487	118
926	1489	117
927	1490	115
928	1491	114
929	1493	112
930	1494	110
931	1496	109
932	1497	107
933	1499	105
934	1500	104
935	1501	102
936	1503	101
937	1504	99
938	1506	97
939	1507	96
940	1508	94
941	1510	93
942	1511	91
943	1513	89
944	1514	88
945	1516	86
946	1517	84
947	1519	83
948	1521	81
949	1522	80
950	1524	78
951	1525	76
952	1526	75
953	1528	73
954	1529	72
955	1530	70
956	1532	68
957	1533	67
958	1534	65
959	1536	64
960	1537	62
961	1538	60
962	1540	59
963	1541	57
964	1542	55
965	1544	54
966	1545	52
967	1547	51
968	1548	49
969	1549	47
970	1550	46
971	1552	44
972	1553	43
973	1555	41
974	1557	39
975	1558	38
976	1559	36
977	1561	35
978	1562	33
979	1564	31
980	1565	30
981	1566	28
982	1568	27
983	1569	25
984	1570	23
985	1571	22
986	1573	20
987	1574	19
988	1576	17
989	1577	15
990	1578	14
991	1580	12
992	1581	11
993	1583	9
994	1584	7
995	1585	6
996	1586	4
997	1588	3
998	1589	1
999	1590	0
